IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP1;IP_PROP2;IP_PROP10;IP_PROP32;IP_PROP26;IP_PROP41;IP_PROP29;IP_PROP40;IP_PROP33;IP_PROP39;IP_PROP35;IP_PROP25;IP_PROP46;IP_PROP38;IP_PROP31;IP_PROP36;IP_PROP30;IP_PROP23;IP_PROP21;IP_PROP22;IP_PROP24;IC_GROUP0;IC_GROUP1;IC_GROUP2;
28;Маска увлажняющая и питающая с цветочно-освежающим ароматом FROZEN MOON Mask (Холодная луна);28;Y;09.10.2018 21:48:00;;;Маска увлажняющая и питающая с цветочно-освежающим ароматом FROZEN MOON Mask (Холодная луна);text;;Маска увлажняющая и питающая с цветочно-освежающим ароматом FROZEN MOON Mask (Холодная луна);;Maska_uvlazhnjajushhaja_i_pitajushhaja_s_cvetochno-osvezhajushhim_aromatom__FROZEN_MOON_Mask_Holodnaja_luna;;;150400558-01;1550;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
29;Шампунь освежающий с фруктовым ароматом MILKY DREAM Shampoo (Млечный путь);29;Y;09.10.2018 21:48:00;;;Шампунь освежающий с фруктовым ароматом MILKY DREAM Shampoo (Млечный путь);text;;Шампунь освежающий с фруктовым ароматом MILKY DREAM Shampoo (Млечный путь);;Shampun_osvezhajushhij_s_fruktovym_aromatom_MILKY_DREAM_Shampoo_Mlechnyj_put;;;150301531-01;1300;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
30;Маска освежающая и питающая с фруктовым ароматом MILKY DREAM Hair Treatment (Млечный путь);30;Y;09.10.2018 21:48:00;;;Маска освежающая и питающая с фруктовым ароматом MILKY DREAM Hair Treatment (Млечный путь);text;;Маска освежающая и питающая с фруктовым ароматом MILKY DREAM Hair Treatment (Млечный путь);;Maska_osvezhajushhaja_i_pitajushhaja_s_fruktovym_aromatom_MILKY_DREAM_Hair_Treatment_Mlechnyj_put;;;150400721-01;1850;;DEMI;;;;;;;;;80;;;;;;;;;Для волос;;
31;Защитный лак-спрей с фруктовым ароматом MILKY DREAM UV Cut Spray (Млечный путь) SPF 50, PA;31;Y;09.10.2018 21:48:00;;;Защитный лак-спрей с фруктовым ароматом MILKY DREAM UV Cut Spray (Млечный путь) SPF 50, PA;text;;Защитный лак-спрей с фруктовым ароматом MILKY DREAM UV Cut Spray (Млечный путь) SPF 50, PA;;Zashhitnyj_lak-sprej_s_fruktovym_aromatom_MILKY_DREAM_UV_Cut_Spray_Mlechnyj_put_SPF_50;;;150400727-01;1550;;DEMI;;;;;;;;;140;;;;;;;;;Для волос;;
32;Освежающая лак-пена д/кожи головы с фруктовым ароматом MILKY DREAM Refresher (Млечный путь);32;Y;09.10.2018 21:48:00;;;Освежающая лак-пена д/кожи головы с фруктовым ароматом MILKY DREAM Refresher (Млечный путь);text;;Освежающая лак-пена д/кожи головы с фруктовым ароматом MILKY DREAM Refresher (Млечный путь);;Osvezhajushhaja_lak-pena_dkozhi_golovy_s_fruktovym_aromatom_MILKY_DREAM_Refresher_Mlechnyj_put;;;150400728-01;1700;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
33;Шампунь освежающий с цитрусово-фруктовым ароматом ICE POLARIS Shampoo (Полярная звезда);33;Y;09.10.2018 21:48:00;;;Шампунь освежающий с цитрусово-фруктовым ароматом ICE POLARIS Shampoo (Полярная звезда);text;;Шампунь освежающий с цитрусово-фруктовым ароматом ICE POLARIS Shampoo (Полярная звезда);;Shampun_osvezhajushhij_s_citrusovo-fruktovym_aromatom_ICE_POLARIS_Shampoo_Poljarnaja_zvezda;;;150301532-01;1300;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
34;Маска освежающая и питающая с цитрусово-фруктовым ароматом ICE POLARIS Hair Treatment (Полярная звезда);34;Y;09.10.2018 21:48:00;;;Маска освежающая и питающая с цитрусово-фруктовым ароматом ICE POLARIS Hair Treatment (Полярная звезда);text;;Маска освежающая и питающая с цитрусово-фруктовым ароматом ICE POLARIS Hair Treatment (Полярная звезда);;Maska_osvezhajushhaja_i_pitajushhaja_s_citrusovo-fruktovym_aromatom_ICE_POLARIS_Hair_Treatment__Poljarnaja_zvezda;;;150400724-01;1850;;DEMI;;;;;;;;;80;;;;;;;;;Для волос;;
35;Защитный лак-спрей с цитрусово-фруктовым ароматом ICE POLARIS UV Cut Spray (Полярная звезда) SPF 50, PA;35;Y;09.10.2018 21:48:00;;;Защитный лак-спрей с цитрусово-фруктовым ароматом ICE POLARIS UV Cut Spray (Полярная звезда) SPF 50, PA;text;;Защитный лак-спрей с цитрусово-фруктовым ароматом ICE POLARIS UV Cut Spray (Полярная звезда) SPF 50, PA;;Zashhitnyj_lak-sprej_s_citrusovo-fruktovym_aromatom_ICE_POLARIS_UV_Cut_Spray_Poljarnaja_zvezda_SPF_50;;;150400729-01;1550;;DEMI;;;;;;;;;140;;;;;;;;;Для волос;;
36;Освежающая лак-пена д/кожи головы с цитрусово-фруктовым ароматом ICE POLARIS Refresher (Полярная звезда);36;Y;09.10.2018 21:48:00;;;Освежающая лак-пена д/кожи головы с цитрусово-фруктовым ароматом ICE POLARIS Refresher (Полярная звезда);text;;Освежающая лак-пена д/кожи головы с цитрусово-фруктовым ароматом ICE POLARIS Refresher (Полярная звезда);;Osvezhajushhaja_lak-pena_dkozhi_golovy_s_citrusovo-fruktovym_aromatom_ICE_POLARIS_Refresher_Poljarnaja_zvezda;;;150400730-01;1700;;DEMI;;;;;;;;;80;;;;;;;;;Для волос;;
37;Масло восстанавливающее для волос и тела Arcanicion EXTRA;37;Y;09.10.2018 21:48:00;;;Масло восстанавливающее для волос и тела Arcanicion EXTRA;text;;Масло восстанавливающее для волос и тела Arcanicion EXTRA;;Maslo_vosstanavlivajushhee_dlja_volos_i_tela_Arcanicion_EXTRA;;;150400511-01;2900;;DEMI;;;;;;;;;100;;;;;;;;;Для волос;;
38;Масло уплотняющее SMOOTH;38;Y;09.10.2018 21:48:00;;;Масло уплотняющее SMOOTH;text;;Масло уплотняющее SMOOTH;;Maslo_uplotnjajushhee_SMOOTH;;;150400512-01;2300;;DEMI;;;;;;;;;100;;;;;;;;;Для волос;;
39;Масло увлажняющее Iceberg MOIST;39;Y;09.10.2018 21:48:00;;;Масло увлажняющее Iceberg MOIST;text;;Масло увлажняющее Iceberg MOIST;;Maslo_uvlazhnjajushhee_Iceberg_MOIST;;;150400513-01;2300;;DEMI;;;;;;;;;150;;;;;;;;;Для волос;;
40;Пена для создания объёма волос PURE Foam;40;Y;09.10.2018 21:48:00;;;Пена для создания объёма волос PURE Foam;text;;Пена для создания объёма волос PURE Foam;;Pena_dlja_sozdanija_objoma_volos_PURE_Foam;;;150301224-01;1950;;DEMI;;;;;;;;;95;;;;;;;;;Для волос;;
41;Масло питательное RELAXING Oil Care;41;Y;09.10.2018 21:48:00;;;Масло питательное RELAXING Oil Care;text;;Масло питательное RELAXING Oil Care;;Maslo_pitatelnoe_RELAXING_Oil_Care;;;150400347-01;1750;;DEMI;;;;;;;;;95;;;;;;;;;Для волос;;
42;Молочко увлажняющее RELAXING Milk Care;42;Y;09.10.2018 21:48:00;;;Молочко увлажняющее RELAXING Milk Care;text;;Молочко увлажняющее RELAXING Milk Care;;Molochko_uvlazhnjajushhee_RELAXING_Milk_Care;;;150400348-01;1750;;DEMI;;;;;;;;;100;;;;;;;;;Для волос;;
43;Молочко-крем дисциплинирующее RELAXING Cream Care;43;Y;09.10.2018 21:48:00;;;Молочко-крем дисциплинирующее RELAXING Cream Care;text;;Молочко-крем дисциплинирующее RELAXING Cream Care;;Molochko-krem_disciplinirujushhee_RELAXING_Cream_Care;;;150400349-01;1750;;DEMI;;;;;;;;;100;;;;;;;;;Для волос;;
44;Лосьон для защиты кожи рук PURE Hand Lotion;44;Y;09.10.2018 21:48:00;;;Лосьон для защиты кожи рук PURE Hand Lotion;text;;Лосьон для защиты кожи рук PURE Hand Lotion;;Loson_dlja_zashhity_kozhi_ruk_PURE_Hand_Lotion;;;150400514-01;1600;;DEMI;;;;;;;;;60;;;;;;;;;Для волос;;
